record_id,combination_size,ingredient_ids,ingredient_names,context,process_context,observed_or_predicted,aroma_similarity,aroma_complement,aroma_contrast,taste_balance,culinary_support,sensory_support,dominance_risk,masking_risk,novelty_score,overall_score,confidence,key_compounds,key_descriptors,bridge_ingredients,evidence_refs,model_version,explanation
COMP-000061,2,ING-PLANT-ABRICOT-000001|ING-PLANT-PERSIL-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.600,,,0.250,0.000,,0.070,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
COMP-000062,2,ING-PLANT-ABRICOT-000001|ING-PLANT-PIMENTDESPEL-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.400,,,0.250,0.000,,0.030,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
COMP-000063,2,ING-PLANT-ABRICOT-000001|ING-PLANT-PIMENTFORT-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.400,,,0.250,0.000,,0.030,0.715,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
COMP-000064,2,ING-PLANT-ABRICOT-000001|ING-PLANT-POIREAU-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.400,,,0.250,0.000,,0.030,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
COMP-000065,2,ING-PLANT-ABRICOT-000001|ING-PLANT-POIVRENOIR-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.400,,,0.250,0.000,,0.030,0.715,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
COMP-000066,2,ING-PLANT-ABRICOT-000001|ING-PLANT-POIVRONROUGE-000001,,all,raw_or_cooked,predicted,0.000,0.500,0.500,0.400,,,0.250,0.000,,0.180,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.50; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
COMP-000067,2,ING-PLANT-ABRICOT-000001|ING-PLANT-POMME-000001,,all,raw_or_cooked,predicted,0.000,0.667,0.333,0.400,,,0.250,0.400,,0.150,0.760,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.67; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.40
COMP-000068,2,ING-PLANT-ABRICOT-000001|ING-PLANT-POMME-000002,,all,raw_or_cooked,predicted,0.000,0.500,0.500,0.400,,,0.250,0.400,,0.100,0.715,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.50; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.40
COMP-000069,2,ING-ANIMAL-PORCVIANDE-000001|ING-PLANT-ABRICOT-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.600,,,0.250,0.000,,0.070,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
COMP-000070,2,ING-ANIMAL-POULETVIANDE-000001|ING-PLANT-ABRICOT-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.600,,,0.250,0.000,,0.070,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
COMP-000071,2,ING-PLANT-ABRICOT-000001|ING-PLANT-PCHE-000001,,all,raw_or_cooked,predicted,0.000,1.000,0.000,0.400,,,0.250,0.600,,0.210,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=1.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.60
